High,Low
10683.120117,10597.410156
10707.509766,10546.44043
10694.490234,10608.139648
10791.040039,10655.570313
10768.610352,10661.169922
10774,10636.669922
10816.450195,10677.55957
10905.389648,10763.679688
10866.620117,10729.860352
10909.94043,10774.25
10982.099609,10878.830078
10895.099609,10781.030273
10866.830078,10749.469727
10860.929688,10724.570313
10886.639648,10649.839844
10768.070313,10528.330078
10557.639648,10414.580078
10373.820313,10252.080078
10462.700195,10296.980469
10324.370117,10198.040039
10224.830078,10129.910156
10396.480469,10287.740234
10436.519531,10356.030273
10438.410156,10279.570313
10166.299805,10036.330078
10063.530273,9942.049805
9956.790039,9867.389648
10049.870117,9963.990234
10119.469727,10012.530273
10062.269531,10019.429688
10306.830078,10150.240234
10340.379883,10285.049805
10354.419922,10123.580078
10449.75,10298.150391
10375.549805,10280.330078
10243.200195,10129.650391
10267.429688,10087.209961
10171.219727,10085.129883
10238.959961,10150.299805
10274.089844,10186.679688
10263.480469,10134.370117
10376.410156,10254.610352
10586.969727,10514.280273
10593.269531,10542.80957
10588.69043,10547.339844
10664.950195,10588.860352
10777.490234,10699.299805
10808.839844,10708.969727
10776.519531,10716.200195
10864.299805,10761.889648
10845.730469,10731.660156
10826.759766,10775.570313
10817.780273,10766.650391
10872.450195,10808.709961
11001.589844,10889.330078
10990.75,10901.200195
11108.820313,11003.349609
11147.620117,11085.549805
11272.730469,11118.179688
11408.169922,11306.620117
11358.450195,11217.25
11350.570313,11260.419922
11232.360352,11159.450195
11204.870117,11148.799805
11351.549805,11248.570313
11212.650391,11088.480469
11316.660156,11255.799805
11230.530273,11084.719727
10953.900391,10878.990234
10999.570313,10890.820313
11093.299805,11023.879883
10989.620117,10866.230469
10967.120117,10865.919922
11165.790039,11035.660156
11213.450195,11108.719727
11008.879883,10882.400391
11092.519531,11035.269531
10847.900391,10682.610352
10472.769531,10257.320313
10540.519531,10362.339844
10643.280273,10392.469727
10501.719727,10345.19043
10638.230469,10535.94043
10551.69043,10390.769531
10331.870117,10158.299805
10336.530273,10197.740234
10186.839844,10041.929688
10161.700195,9999.589844
9829.360352,9696.629883
9793.459961,9693.070313
9642.599609,9432.089844
9622.400391,9477.450195
9642.160156,9395.290039
9824.849609,9699.139648
9831.730469,9728.419922
9747.259766,9658.44043
9763.410156,9560.160156
9920.179688,9758.820313
9962.419922,9868.089844
9714.419922,9502.620117
9587.650391,9434.80957
9487.910156,9378.230469
9544.040039,9437.469727
9764.730469,9673.599609
9882.049805,9819.950195
9911.730469,9826.44043
10109.860352,10033.240234
10053.450195,9989.209961
10029.110352,9965.160156
10251.900391,10109.269531
10183.889648,10105.480469
9975.009766,9912.799805
10009.370117,9893.75
9794.980469,9697.870117
9762.230469,9679.169922
9760.019531,9548.980469
9420.139648,9347.070313
9297.450195,9147.679688
9259.139648,9160.469727
9282.900391,9213.790039
9351.110352,9091.700195
9329.639648,9223.799805
9545.990234,9456.19043
9610.589844,9516.969727
9632.889648,9533.55957
9629.980469,9502.240234
9807.360352,9693.330078
9726.94043,9667
9636.839844,9392.209961
9404.070313,9230.839844
9254.19043,9176.120117
9474.110352,9367.299805
9561.820313,9493.610352
9541.589844,9487.650391
9760.30957,9614.469727
9732.759766,9648.969727
9658.610352,9505.639648
9676.410156,9548.860352
9750.879883,9632.860352
9613.129883,9474.669922
9688.870117,9578.30957
9658.040039,9545.410156
9572.830078,9523.629883
9667.040039,9505.339844
9445.040039,9283.599609
9212.589844,9065.94043
9278.459961,9163.25
9210.969727,9095.94043
9188.480469,9084.240234
9280.589844,9153.419922
9362.679688,9242.839844
